TESTE DE MESA
conta 				nota				contaSat = 0			contaInsat = 0		soma = 0
  1  				  1 				     0 				      1	           	   1
  2  				  2 				     0 				      2			   3		
  3   				  3 				     0 				      3			   6	
  4  				  4 				     0 				      4	                   10			
  5  				  5 				     0 				      4			   15	
  6  				  6 				     0 				      4			   21	
  7  				  7 				     0 				      4	                   28			
  8  				  8 				     1 				      4			   36		
  9  				  9				     2 				      4	    		   45				
  10  				  10 				     3 				      4			   55	
